Text,Rating,Drug
"Been on Ozempic since mid April 2020. All side effects listed with the worst being chronic diarrhea. Nausea has been significant, but has settled to occasionally. Trying to follow a more plant based diet I have lost today an official 60 pounds. I find the less meat I eat, the more energy I have, the better my blood sugars are as well. I am 53, so weight loss isn't impossible for us older ladies...",7.0,Ozempic
"I have been on 0.5 Ozempic for 2 months now. The nausea is no better. I vomit almost every day. Driving down the road and I begin to vomit. Almost caused me to wreck my car twice now. I've lost 30 pounds and feel terrible. My stomach hurts all the time and now my back. I do not urinate much at all even though I've increased water. Calling today and going off it. Losing weight is great, but not at the cost of feeling horrible every day.",5.0,Ozempic
"I have been taking Ozempic for 16 months and have lost 80Lbs! I started at .25 and have moved up to 1. At first I was terribly sick but I took my time to adjust bit by bit while the dose was slowly raised and now I don't feel sick at all from it now! If you can hold on and push through ( the push was hard, REALLY sick some days) it does get better. It has saved my life",10.0,Ozempic
"I was put on Ozempic after taking Gliperide for several years. I started on 0.25mg then on to 1mg. I started having the nastiest burps ever, then diarrhea 3 to 4 times a day. After 3 months I went to a gastroenterologist and was diagnosed with gastroparesis, a side effect of Ozempic. I  have all the side effects nasty ,offensive smelling burps, eye floaters in both eyes, bad diarrhea, stomach pain, now this disease that has caused pre cancer cells. Yes, my appetite has decreased, I have lost 15 lbs in 3 months, my numbers are good. But not worth being sick every day. Just found out my daughter is going thru the same exact thing. So take it at your own risk.",,Ozempic
Did the first 4 weeks o Ozempic @ .25 had mild stomach issues. Nausea was come and go really not consistent. Helped control my eating. Dr said if you over eat or eat like you used to you will throw up. There is no place for the over eating but up. Didn't over eat didn't have much issue. Took stool softener to keep things moving. At the .5 dose ate less but less side effects than my first dose. Glad I have started the med it works.,10.0,Ozempic
"I have been taking Ozempic for 4 months to reduce insulin resistance (caused by polycystic ovary syndrome).  The medication has significantly reduced my appetite.  I have had a few minor side effects - a stomach cramp here, an episode of diarrhea there...but nothing at all significant.  My weight went from 151 (BMI 25.9) to 133 three months later (BMI 22.8).  I honestly could not be happier.",10.0,Ozempic
"I started taking Ozempic in June 2020, initially lost 20 pounds by August. Total of 30 pounds so far, last 10 have been a lot slower. I went from 186 pounds to 156 pounds. A1c went from 6.5 to 5.6.  Minimal side effects include occasional nausea and constipation. Started using miralax which has helped. Side effects I have experienced are worth the benefits. I consistently wake up with glucose levels in 80-90 range, never out of green zone on glucometer. I cannot over eat. If I do I feel ill or get heartburn so I have learned my lesson. I am really happy with this medication.",10.0,Ozempic
"I took 1 dose of Ozempic and I have been sick ever since, diarrhea, vomiting, nausea, stomach cramps and a little dizziness. This is terrible,  will never use again. Can someone tell me how long these symptoms last?",,Ozempic
"Side effect is mild for me but it really destroys your appetite. Initially I can only tolerate fresh fruits and vegetable. I took this as opportunity to change my lifestyle. I eat healthier and avoided sugary drinks. I lost a total of 40 lbs. in 6 months. A1C dropped from 7.3 to 5.4. Dress size dropped from 14 to size 4. I am no longer on daily insulin, BP meds and cholesterol meds. All labs are normal. This medication is my lifesaver.",10.0,Ozempic
I've been on Ozempic for 8 weeks. At first it I had side effects of  a lot of nausea. Now I wake up cold and clammy the last week and very anxious. Overall feeling unwell. Wondering if anyone else has experienced this?,,Ozempic
"I suffered from
-Loss of appetite 
-Exhaustion 
-Nausea 
-Vomiting (once a week usually 2 days after my injection)
-Low blood sugar events (probably caused because just had no appetite)

When I spoke to my pharmacist she encouraged me to try to hang in there telling me it would get better and it finally has. I was not expecting it to take over 3 months though.
My readings are all good and I've lost 28lbs so there were benefits to sticking it out but it was hard. I had decided that I would continue to take the medication until my next appointment and if things were still bad I would tell the Dr that I  no longer wanted to use it. Things are better and my appointment is next week.",5.0,Ozempic
"Honestly am so impressed so far with these meds. My weight had 
 been creeping up due to insulin resistance (which itself makes it harder to lose weight) and PCOS. My doctor recommended I try this in conjunction with a very low carb and calorie diet. I started with a half dose of 0.25mg once a week injection and then after 2 weeks up to 0.5mg a week and so far in 6 weeks I’ve lost 15cm from my waist and 9cm off my hips, 5cm off my bust. I have been eating lite and easy roughly 1000 calories a day. Haven’t weighed myself yet as I’d prefer to see the difference in cm. This medication makes me feel a little nauseous the first day or two after my shot but after that I never feel hungry. I can quite easily eat a super small portion and feel full! I drink about 2L of water a day and do about 8000 steps at my job. It really has been great and sooooo much cheaper than Saxenda which was another one I was considering. Hopefully I continue to lose weight!",10.0,Ozempic
"I've been on it for 7 weeks. I have had the runs as others have noted and the sour stomach, but what I also noted is that those symptoms are worse if you've eaten too much, or a heavier meal before bedtime.  Small snacks are ok.  

I don't drink any sugar laden beverages, and I eat lots of fiber already.  My diet is mostly vegetarian, but not for any reason other than my stomach just feels better on it.  I think that has helped keep the side effects in check.

So far I've lost 8 lbs, which TBH is kind of shocking.  I never thought my body would give up this weight, but I'm heading in the right direction.  Sugars are dropping nicely, especially my fasting sugar.  I have that hypo drop and spike when you wake up, and that seems to be levelling off, which is great.  So I'm going to keep going. Oh and I didn't jump in with dosing, I started with .25 and kept on that for six weeks and only just now moving to .5.  Slow gradual is the right way.  Too much at once will make you sick.",9.0,Ozempic
"Listen to me- Ozempic will change your life- but you CANNOT eat synthetic sugar AT ALL. I had severe hashimotos, PCOS, insulin resistance and severe diabetes symptoms. HBA1C was high, all cholesterols were high despite the healthiest of diets. My numbers cleared from severe to perfect in 1 month!! I had full body swelling, severely cracked ankles, swollen feet, neck, legs, major hair loss… a nightmare. I began taking Ozempic- I was very sick. It made me extremely nauseous- I got severe diarrhea, but let me tell you- I lost 17 pounds of water weight in ONE month. My dr couldn’t believe it. In four months, I lost 40 lbs. the nausea was mild to severe the entire time, but the results were borderline insane. It reset my metabolism, took ALL of the inflammation away from my joints, neck, back, my feet completely healed within one month. It’s barely believable. I spent two months on .25 and increased to .5 once a week for ten more months. High praise!!",10.0,Ozempic
"I’ve been on Ozempic 6 months. I had gestational diabetes with both children so know I have an increased risk of type 2. I had bloodwork done and unsurprisingly my fasting sugar was high but my a1c was high normal. My doctor prescribed Ozempic and I am currently at 1mg/ week. Results: blood sugar in perfect range,  lost 20 pounds (15% body weight), loss of sense of taste for tons of foods, alcohol aversion. All in all I’m far healthier but I do miss enjoying food. I wonder if this is sustainable long term. Time will tell.",10.0,Ozempic
"I have been on Ozempic for 2.5 weeks now and I have lost 12 pounds. I don’t eat anything fried or greasy. I watch fat intake because this medicine can make you sick if you have too much fat in what you are eating. It can also make you sick if you overeat. If you eat small - moderate meals with light snacks in between, you will probably not have any problems. If you cannot stay away from fast food and greasy pizza, you will have a problem. I have found that this medicine makes me not as hungry. It takes the edge off. It also keeps me from craving junk. I get full at meal time, eating less. I drink a lot of water too. I also use an app on my phone to log food, calories and exercise. I weigh once a week. I hope this helps someone else that is considering this drug.",10.0,Ozempic
"I have tried them all! I was diagnosed with diabetes at the age of 18 and I will be 40 this September. When I say I have tried them all, it’s no exaggeration, but my search stops here!! This medicine has done in a couple of weeks what I have been trying to do all my adult life! My blood sugar is perfect! I actually look forward to testing my sugars throughout the day. The other Day I cheated and have a slice of caramel cheesecake. Normally, this would spike my blood sugars too well over 250, but when I tested my sugar one hour after consumption, I was at 132!! It only get lower as the night went on!! This is some good stuff!! I am so happy my doctor recommended this for me! I’m in love!! I’m finally optimistic about my future with this dreadful disease.",10.0,Ozempic
"I've been using Ozempic for 18 months. A1c has dropped from 8.1 to 6.0. Weight dropped from 195lbs to 157lbs. Minor side effects for the 1st two weeks, I dropped most of the weight within 4 months and my A1c went down to 6.3 in those 4 months. My doctor decide to take me off Ozempic after 6 months to see if I'd stabilized but within 4 weeks my A1c was back in the upper 7s. I'm staying on Ozempic for now. Great medication but a ridiculous price.",10.0,Ozempic
My husband began taking Ozempic for his Type 2 diabetes several months ago and experienced minimal unpleasant side effects. His food consumption is down approximately 2/3 (no more ,,Ozempic
"Started April 1. 2021 on Ozempic low dose. 3 weeks intervals it was increased. Side effects were constipation ( went on laxatives to help), pain in my back (severe), bloating. Week 11 increased to 1mg the side effects were major bloating, diarrhea, sounds in my stomach (crazy), nauseous, feeling under the weather. My appetite has decreased to the point that I only eat 2 meals a day that are small. My sugar levels have decreased from 7.1-5.2 A1C. I’ve noticed that I have been kept awake some nights like I’m nervous for some reason.? In the first 3 weeks I’ve lost 15 pounds. Haven’t checked since I want to wait but can feel difference . The pains in the stomach are really uncomfortable and the bloating I will try gas-x, for relief. When  I try to eat more than I should my body tells me that I’m full if I go beyond that point I get severe pains in the stomach for hours. But depends on what I eat. Going to stay with smaller portions/healthier foods.",8.0,Ozempic
"My health wasn't good so I fired the nurse practitioner I was seeing and got an internist doctor. Found out my Thyroid  was almost non-functional + high blood pressure & my pre-diabetes rate was doing a serious climb. 1 year later had me at the right dose of synthroid.
Doctor put me on metformin & phentermine & added ozempic 2 weeks later at .25. That was a rough ride, I was nauseated & dizzy a lot! I started at 265lbs and everyday I would see a pound or 2 come off. As of this morning I weighed in at 239 and I'm up to 1mg dose of ozempic weekly. I take the anti-nausea now just before my ozempic dose & that's it. I use doterra ginger. A1c down to 5! I'm glad I listened to my doctor & my pharmacist & stuck with it. Anything worth having doesn't usually come easy! I would like to get down to the 160-170 range, I'm 5'11 and thinner than that I start to look like Olive Oyl! OH Popeye!",10.0,Ozempic
"My doctor gave me Ozempic 0.5 to start with.  I always had upset stomach, diarrhea with most foods, and an overall sick feeling all the time.  I was able to ",,Ozempic
"Reading many of the reviews frightened me so I thought it was important to share my positive experience. I’ll first say, I’m horrified of needles. However, you can’t feel the needle at all, the medication going in sort of burns a bit, but that’s it! I’ve been on Ozempic for 5 months. I started at 254 lbs and started taking 0.25mg for 6 weeks. No side effects in the slightest. I also didn’t lose much either though because it is your body getting used to the medication rather than fixing your blood sugars. I then moved up to 0.5 and started seeing results with my weight and still no bad side effects other than eating less. I recently moved up to 1mg and am now down a total of 45 pounds in 5 months. Still no bad side effects. Eating has to be much more mechanical though because my hunger cues aren’t as strong, but no nausea. I would highly recommend this drug! Ps inject in your thighs, I believe this is the reason I’ve had no bad side effects my entire journey!",10.0,Ozempic
I've been on ozempic about 4 weeks now. Started at 0.25 now onto O.5mg. The only mild side effect I have is the sulphur burps other than that I don't really have any. The odd sick feeling but it's not too strong of a feeling. This medication has cut the sugar cravings in half to non  existent therefore have lost bit of weight which is noticeable. Food habits now are also none existant. I feel fuller for longer. This drug is amazing and to only Inject once weekly is fab! I do recommend ozempic highly. I Held a lot of weight around my stomach to which now its starting to shift. To me it's been a lifechanger and I hope to anyone considering reaps the same experience from myself on it. Gl x,10.0,Ozempic
"Since starting Ozempic all my numbers have gotten considerably better. I did have nausea for several months, but I took medicine to counteract the nausea and now I’m feeling much better.  My appetite has been cut in half.  I have lost a total of 40 lbs so far and I couldn’t tell you the amount of inches I have lost, it seems that I lost inches first and then weight. I have started going to the gym. My advice to anyone starting Ozempic is to stop eating as soon as you get that first feeling of being full, don’t try to finish the plate just because you don’t want to waste food, because it will make you sick if you force yourself to eat it all.",,Ozempic
"With an A1C approaching 11, it was time to try something else in addition to Novolog and Tresiba so my Dr added Ozempic.
I also quit all alcohol and became a vegetarian. The first 3 weeks at .25 left me with a decreased appetite, nothing severe. The pounds started dropping off, fast forward 3 months and I am 22 lbs lighter.
I love Ozempic, no bad side effects and my insulin needs have decreased ( not gone away) best of all my A1C was 7!
A lifestyle change helped a lot, but I credit Ozempic for many of these positive changes.",10.0,Ozempic
"I feel that the best practice for this medicine would be to take about only 8-10 clicks (17 clicks = 0.25) for the first several weeks and then build yourself up to the full 0.25 dose.  That way you can see what side effects you are going to experience and if they are tolerable of not.  I took 0.25 and suffered from severe diarrhea for almost the full 7 days. Ended up in the hospital for the last 4 days until the side effects wore off. The only positive, was that I lost almost 20lbs. I would be very careful taking this medicine.",1.0,Ozempic
I've been using this off label for weight loss for 3 months after consistent diet/exercise and allegedly controlled Hashimoto's left me frustrated that I still couldn't lose weight.  This drug has been amazing.  I do still suffer from occasional headaches that are moderate to severe and if I eat something I ,,Ozempic
"Do not take this medication!  After injecting the .5 mg dosage for two months, I began to have digestive issues. My doctor sent me for medical tests and found that I developed Pancreatitis.
I was told to stop using Ozempic immediately!",1.0,Ozempic
I’ve been taking Ozempic for eight months. I’ve had minimal side effects on a .5mg dose. I’m taking this for weight loss with Metformin and a low carb diet. I’ve lost 70 pounds from 265 lbs to 195 lbs. The change in my health has been remarkable. I call it the wonder drug.,10.0,Ozempic
"Hi! 

Have been on Ozempic for 10 months. The first 3 months were very difficult with strong side effects. Mainly constant, but low level, nausea, occasional vomiting, and diarrhea (especially two days after the injection). However around month 3 the nausea and diarrhea subsided greatly and my appetite returned. I had lost weight very quickly (42lbs in 3 months due to not really eating much). Had to take supplements for a while but am now eating well. The rapid weight loss led to telogen effluvium, a temporary hair loss condition. (I shedded A LOT but never showed any baldness or anything). Currently, my weight is still down (I was taken off my blood pressure medication!), my blood counts are perfect, my hair is getting thick, and I eat normally. I now experience virtually no side effects.  Really, really, glad I stuck out the side effects at the beginning.",7.0,Ozempic
"I have been on Ozempic for 6 months now. After the first few injections, I was so sick vomiting and diarrhea all the time. I called the doc and said I couldn’t take this anymore. Of course I lost weight, as I couldn’t keep anything in me. I researched the medication itself to understand exactly what it was & how it worked. I decided to stay on it. My A1c was 8.8 when I started. 3 months later, 6.4. I am down 36 pounds. I have been exercising regularly for 3 months now, running 3.5 miles 5 X a week. The confidence and energy from the weight loss outweighs all the negative side affects in the beginning for me!  Blood sugar control is excellent, and I suspect will only improve after the continued weight loss. I have stalled with weight loss twice now, but not giving up, and sticking to my exercise (changing it up a bit to gain more muscle to burn fat), I have been able to overcome the stalls and continue to lose. Complete game changer medication for me!!",8.0,Ozempic
"Used Ozempic for 2 months, had to stop taking it. I had themost toxic reaction(s)  from any prescription drug I have ever taken.  Terrible chemical smelling burps, felt sick often,  caused serious bowel problems.  Will never take this drug again, benefits are not worth the grief.",1.0,Ozempic
"It really helps, especially if you are eating the correct foods. Sometimes the side effects are feeling really bloated. I started off with 0.25 then moved up to 0.5. Watch your sugar intake though, you may get dizzy spells if too many sweets.",9.0,Ozempic
"I’ve been on this med for 7 weeks. I’ve lost 25 lbs and my daily blood sugars range from 60 - 90. I use along with 500 mg Metformin. First couple of weeks was hard with nausea and stomach cramps. I also had the headaches that others have mentioned the first couple of days. Week 3 I increased from 0.25 to 0.50. Then came the diarrhea. Not too bad, I was just happy that I could go. I’m now taking 1.0 and the sulphuric burping. Ugh! After doing some research on home remedies to help with the belching, I’m trying a spoon of apple cider vinegar. If you can make it through the first few weeks and you can be ‘somewhat’ disciplined you will notice a huge difference in how you feel. In my opinion, the side effects are manageable when I compare the weight gain while taking Insulin. BTW - I’m not severely obese. Prior to being on this drug, my weight was 205 and I’m 5’9 and 47 years old. I hope this is helpful to someone.",9.0,Ozempic
Well so far and this is my 3rd week (I'm taking it  for weight loss only) and I'm a little sick in my stomach . But no throwing up or bad gas. Fingers crossed I hope I don't. Some of these side effects sound awful. I've lost about 2 pounds a week so far and if this keeps up I am going all the way with this . I take .25 so far. My doctor wanted me to try because I've lost 275 pounds all by my self and I've been at a stand still. He wants me to get over this hump. So I'm trying this  and so far so good. I hope it continues to good for me. I hate it's not for some .. And by the way I've never had diabetes. So I'm taking only for weight issues. I'm 50 and its took me 4 years to lose the 275lb,8.0,Ozempic
I have taken ozempic for four days and have not experienced any of the symptoms others are saying they have had with one exception: I am very tired.  I am  eating a little less but do not feel like some say they can't eat at all.   My bs is down to 110 and I have lost three pounds.   So far I see only good things.   I hope it stays that way as I want to lose about 30 pounds and not take metformin.  Hopeful!!!!,10.0,Ozempic
"I have been on ozempic for 13 weeks, I started out on .25 mg for 4 weeks then moved up to .5 mg for 2 weeks and then to the 1 mg. My A1C was 10.9 when I started the injection and after 12 weeks my A1C was 7.6 and I have lost 34lbs! I am feeling great and I continue to lose weight. I am so thankful for this injection!",10.0,Ozempic
"Have been on Ozempic for 3 months. Minimal side effects. With a diet change (no more chips, booze, and candy) and exercise, I was able to reduce me A1C from 11 to 5.8. I lost 70 pounds. Ever since Ozempic, I find it keeps my sugar consistent at 110 or under, even on cheat days. Mild stomach pain. It has reduce my hunger as others commented. While I am responsible for much of weight loss, the Ozempic had a strong role in it as well.",10.0,Ozempic
"On week 4 now, honestly the first 2 weeks were a nightmare, doctors don’t tell you “stay away from fatty foods and don’t over eat” if they did I wouldn’t have had the most horrible sulphur burps that made my eyes water , projectile vomiting, diarrhoea and stomach pain not to mention constant nausea even during night , I finally figured out not to eat too much and avoid fatty foods completely!! This was a game changer and now I’m doing ok, lost 21 pounds so far which is mad but mostly because in 2 weeks I’ve eaten probably 4000 calories. I’m back to wanting to eat again but have to control myself or face the terrible consequences. Blood sugars are all over the place as you can imagine however insulin sensitivity is way better. Just takes time to get used to, hope this helps",6.0,Ozempic
"This medicine did what it was supposed to. It lowered my A1C, but it also almost me off. I was so sick. I had to stop it. The worst medicine ever! I felt like I was reaching the end of my life. I couldn't do anything, couldn't eat, couldn't even get out of bed. I lost a lot of weight! My stomach hurt, my side hurt, my back hurt. I started feeling better once I quit taking it! I will never take it again! It almost felt like it was poisoning my entire body!",1.0,Ozempic
"Take my comments for what they are worth since I changed many things in my life at the same time...but..

I think Ozempic is great.  After 5 months reduced my A1c from 9.7 to 5.9.  Lost almost 25 pounds.  Am at .5mg and it has drastically reduced my appetite.  Between smaller stomach and this drug often push my plate away before finishing, rarely desire for dessert.  

Little to no side effects overall.  Some stomach issues like constipation, bloating but can’t rule out dietary changes being the cause also.  Went on a low carb diet and really stuck to it for once and increased exercise a lot.   Use of the Freestyle Libre Sensor really really helped too!  Being able to learn how things effect your blood sugar in real time is a great motivator to do the right thing, combine carbs with protein etc

Hoping to lower other meds I am on when I see my Doctor next month.  Once a week tiny needle (virtually pain free) is a far better system than pills everyday.",10.0,Ozempic
I have taken opzempic for a month now dosage being 0.25 once a week and at first I didn’t really see any side affects or anything but then boy one day I made the mistake and over ate and had gas constantly and kept burping repeatedly and then and hour later non stop diarrhea. After making that mistake I have taken into account never by any means do that again. I usually now just eat a big breakfast and like a snack later on throughout the day and it’s helped me completely cut out soda entirely. I originally started taking this because I was experiencing rapid weight gain and they checked my thyroid and said it was within normal limits so they put me on this and I am so glad. I wake up in the morning and I haven’t had a blood sugar reading over 130 in a month I can’t wait to go back to my doctor and figure out what my A1C is. But in total I’ve lost 8 pounds in one month :),10.0,Ozempic
"I have been prescribed Ozempic for weight loss secondary to type 2. I got nauseated with some loss of appetite at .25 mg dosage and adapted to it over a month. Lost 9 lbs in that month. I increased to 0.5 mg last Friday (it is Tuesday), and I am miserable. Non stop nausea, burping, some pain in stomach, constipated. I feel miserable.  I am worried about the stomach pain being pancreatitis starting so I am increasing my water. I haven't eaten in two days.  I will not continue with this drug as I thin this just cannot be a good thing to do to ones body.",3.0,Ozempic
"Been taking for 18 months.  I have lost 50 pounds.  My last two labs (3 months apart), A1C 5.2 and 5.3.  Along with Ozempic, I take Jardiance and Metformin.  I have no craving for my former favorite foods.  Honestly, I get no pleasure from eating.  It works for me, my miracle drug.",10.0,Ozempic
"Started Ozempic 8 weeks ago, from the beginning I started belching. Doze was .25 went to . 50 and the stomach cramps started. I am in 3 weeks now at 1mg and I have never been more miserable. Constant violent diarrhea and stomach cramps. I am losing weight at a rapid pace didn’t necessarily need to lose. I called the doctor today because I’m unable to leave the house she seems to think that this will subside in another week and I should be back to normal. After reading everyone’s comments I find this hard to believe!!!!",2.0,Ozempic
It's the miracle drug it reduced my A1C from 11.3 to 5.4 so far being taking it for a little over one year lost some weight no side effects whatsoever since the first dosage quit taking metformin do watch my sugar intake not religiously but moderate It does work!price with insurance its only 25 dollars compared with 800 and something  without insurance highly recommended,10.0,Ozempic
"Started taking Ozempic for pre-diabetes and insulin resistance.  This is first medication I've ever taken for diabetes.  A1c was 5.7.  I increased dose quickly at doctor's recommendation if little to no side effects occurred.  First dose 0.25 in office.  Second 0.5 a week later.  Third dose at 1.0 a week after that.  Only side effect I have is mild nausea.  Appetite has disappeared and I eat only when hungry and much smaller portions.  Serious bloating when I eat too much, which is a great deterrent.  Been on medication 4 weeks overall, 2 weeks at 1.0, weigh dropped from 305 lbs. to 295 lbs.  Still a little lethargic but I was very lethargic before starting medication.  I feel like this medicine is a game changer for me.  I love not thinking about food all of the time, only eating when hungry and not for pleasure, and losing weight.  Will retest A1c in 2 months.  Hopefully the weight loss continues and I caught the A1c level before it turns into full-blown diabetes.",10.0,Ozempic
"I am male (early 50s). Blood glucose was already regulated with metformin, diet, and exercise (100 to 150), but I wanted to quit metformin because of its side effects (diarrhea). I was put on 0.50 mg/wk and warned that nausea from Ozempic was a common side effect. I HAD NO IDEA! WEEK 1/WEEK 2: I couldn't smell food without getting queasy. I choked down lots of soup just to get 1200 cal/day (often falling short). WEEK 3/WEEK 4 got slightly better. WEEK 5: I have my appetite back. I feel full, so I eat smaller meals. My weight loss is atypical: 203 lbs to 183 lbs in five weeks, combined with exercise (1 hr/4x wk stationary bike/treadmill). Blood glucose is now between 90 and 120, with occasional dips and peaks. I would only recommend this drug to those who have very high glucose levels, are morbidly obese, fiercely stubborn, and/or desperate. But it works. Good luck.",8.0,Ozempic
"Ozempic has been a life changing medicine for me. My A1C is better controlled and I have have lost around 13 pounds so far and have not even been on it that long. Before ozempic, I craved sweets and was constantly hungry ozempic has greatly helped me regulate my appetite. If I eat too much I do have problems with nausea, so I do have to be careful, but that’s a good side effect I think",10.0,Ozempic
I have lost more than 30 lbs. In the 3 months I've been on it. For the first month I had a mild sour stomach but it wasn't that bad. I feel fine now and am still loosing weight. My blood tests are within normal ranges. I feel fine. I'm in my 50s and haven't been this weight since my teens.,10.0,Ozempic
"I’m a nurse. I started this med and unfortunately the nausea, gastritis, dizziness and headache continuing into week 4 is simply not worth it.  I can’t lay in bed and be miserable which is what this does to me. At first I actually thought I had a GI Bug. If there is any other choice do not put yourself through this.",5.0,Ozempic
"Well, let me start by saying Ozempic worked very well for me.  I was on it for a little over 4 months.  I lost 49 pounds, my a1c went from over 9 to 6.7, I'm off insulin now.  Then we went to a higher deductible insurance plan and I can no longer afford my Ozempic.  The only thing they offer is the $150 savings card, so it still costs over $600 a month. I can have a roof over my head or get my meds.  What a world we live in.  I guess I should quit my job, then I could get some assistance with it.",10.0,Ozempic
