Comment,Drug
"This is my fifth week and I started on 2. 5mg and now on 5. 0mg,  I have had only one side effect.  Dry mouth but I lost 29lbs the first month.  I weighed 243lbs and now I am down to 214lbs.  If you dont eat fried foods,  sugar,  or heavy carbs,  you will do great.  I dont overeat anymore,  plus exercise I walk 5 miles a day.  I drink at least 64fl oz water.  This medication is worth taking.  I had no issues at all.  And feel great.  I cant wait to fulfill my journey.  The key is to follow a plan.  You want a life change this is it!  I used the coupon and only certain pharmacies know how to code it.  I got lucky because My pharmacy worked with me. ",Tirzepatide 
"I saw this medication on TikTok  decided to try it.   Started on 2. 5mg  on 92322 at 204 pounds.   Had some chills  started feeling a little off,  light headed,  metallic taste in mouth,  major loss of appetite,  increased anxiety.  Continued through the 2. 5mg then moved up to 5. 0mg.   On my 4th injection of 5. 0mg my life flipped upside down.  This medication caused me some serious side effects,  syncope,  dehydration,  electrolytes to be out of sync,  chest pain  one heck of panic attack while at work  I had to be rushed to ER.    Very scary  thankful I was not driving when it happened.    I have stopped the medication immediately.   I want to feel normal again.  Down to 190 pounds now not worth the risk. ",Tirzepatide 
"This is my 2nd post,  I am on 7. 5 mg of Mounjaro and I have loved every moment of this journey.  I was 243 lbs and lost 49 lbs so far since October 2022.  I also eat a healthy diet and exercise.  Stay hydrated because my side effect is dry mouth and constipation.  I did however find out that if you eat carbs,  sugar,  or fried food you will get nauseous and possibly throw up.  Lesson learned.  Stick to protein and vegetables and fruit.  I need to lose 34 more lbs to be at my ideal weight.  I am still excited to be on this journey. ",Tirzepatide 
"I dont have diabetes.  I may have insulin resistance.  Im taking this for weight loss.   BMI 48.  Took first dose,  a sample dose,  five days ago.  I didnt even feel the needle.  Within a day of the injection I started having pain in my low back,  in the tailbone area,  squeezing muscle pain when standing or walking.  The pain goes away after a few minutes of sitting or lying down.  I had similar pain when taking Belviq.  I dont normally have back pain.  Also have some intermittent mild itching at wrists,  ankles. 

I still think about food all the time but Im not actually interested in eating it.  Someone brought me a quarter pounder sandwich for supper.  I had to cut it in half and then I shared my half with the cat.   Theres cake in the refrigerator and I havent touched it.  Im hungriest in the mid morning now and today had 1 low carb tortilla,  one link turkey sausage,  a slice of cheese,  cilantro,  and a bowl of watermelon. ",Tirzepatide 
"I tried Ozempic for 9 weeks and thought I was going to die,  so they switched me to Mounjaro.  The 1st 2 weeks were okay,  I just didn not have an appetite,  but week 3 hit me just like ozempic did.  Total exhaustion,  I have lost 5 lbs in little over 3 days,  
 I have side effects of sulphur burps,  dehydrated,  constant nausea,  falling to sleep at all times,  all night vomiting and diarrhea.  I feel bruised from head to toe and blurred vision.  I am telling people this for a warning.  Read the reviews.  People are constantly going to the ER because of these medications.  I am flustered because I found something that worked for my diabetes,  but  it is really bad for  me.  Since starting Ozempic up to now I have lost almost 30lbs. . .  might sound great but not when you can not function. ",Tirzepatide 
"I have been on Mounjaro since March 2023,  it is now February 2024.  When my doctor suggested Mounjaro to me,  I was at a point in my life where I didn not think it could get much worse.  My A1C was off the charts,  I was severely obese at 280 pounds,  and I was scheduling my 6th surgery in 7 months!  Now,  almost a year later,  my diabetes is gone!  I am 100 pounds down to 180 and no more surgeries in my foreseeable future!  Game changer! ",Tirzepatide 
"I know this med doesn not work for everyone and some people have some pretty horrific side effects.  Luckily,  I am one of those people who it DOES work for.  In 4 months,  went from A1C of 7. 5 to 5. 0.  All of my other regular labs are in normal range.  Going off atorvastatin 10mg for cholesterol and lisinopril 10mg for high blood pressure soon.  Also,  lost 45 lbs.  Only side effect worth mentioning is constipation,  but I think I finally have a handle on that with magnesium supplement.  Started on 2. 5mg for 8 shots,  5. 0mg the rest of the time.  My biggest problem is supply issues.  I have a prescription for 7. 5mg but haven not been able to find any yet.  Shortage is supposedly ending,  so hopefully that will be resoved soon. ",Tirzepatide 
"I was prescribed the 2. 5 dosage as a trial by my endocrinologist for pre diabetic and weight loss on 91522.   I felt fine the first day,  shot was given in the morning but the next day I actually forgot to eat lunch.   That is not normal for me.   I wasnt hungry.  The third and fourth day I had horrible sulphur burps,  nausea,  fatigue.  On the fourth day I took two naps which is not normal for me.   I thought my symptoms were getting worse but then the fifth and sixth day I felt great.  I am fearful to take the next injection this week as I dont want a repeat of the less than desirable side effects.  It really wrecked my weekend.   On the up side,  I lost a couple of pounds the first week.  Thats exciting but at what cost? ",Tirzepatide 
I began my journey 082322.  As of 011723 I am down 55lbs.  I have had no issues.  I truly have little to no desire to eat.  I have to force myself to eat.  My blood sugar is now normal to the low end.  I really hope that insurance will kick in before the coupon is no longer effective.  I am stunned by how well this has worked.  I have tried other meds and nothing has come close.  I am 11 lbs from my goal weight.  I think I and going to have to readjust my goal.  Yay! ,Tirzepatide 
"Started at the 2. 5 level and lost some weight.   15 lbs.   Sugars are down as well.   Greasy foods are not recommended.   Went to the 5. 0 level and everything dairy went bad. . . sours on the stomach badly,  and quickly.   Ate too much one night and got very ill,  vomiting and diarrhea all night along with serious gas from both ends!   I don not like  that I can not have my diary,  even tried Lactaid to no avail.   Also,  there seems to be a metallic taste in my mouth most of the time. ",Tirzepatide 
I started out of the 5mg and was deathly ill from it for about a week with severe diarrhea and  belching that was so awful it made me want to vomit.   I lost 9 pounds and my sugars are going down and staying where they are supposed to be.   I called my doctor and she switched me down to the 2. 5mg better just one day of illness.   Started back on the 5mg and I still feel horrible for 24 hours after day 2 of the shot.   But sugars are awesome and I am hoping this too will pass,Tirzepatide 
"Horrible experience taking this drug.  I do not recommend taking this medication unless you want to die.  I started taking 2. 5 mg 6 days ago.  Day 2 and 3 had no appetite and ate very little because the thought of food made me sick. Day 4 and 5 developed nausea,  severe abdominal pain and indigestion unrelieved by antacids. I also have lost five 1bs because I am unable to eat or drink  anything.  I do not have any energy or feel like doing anything.  Day 6 and I still feel sick.  My fasting Blood sugar this morning was 224 even though I  am not eating or drinking hardly anything at all.  It is noon and I havent eaten anything because Im afraid I will throw up.  My heart rate is 120 and normally runs in the eighties.  My doctor is out of the office this week for holidays.  Just hoping and praying I dont wind up in the emergency room.  I will never inject this toxic  stuff into my body again.  I also read that it can cause thyroid cancer. ",Tirzepatide 
Im a 2 type diabetes I have been on mounjaro since 101022 I have lost 56lbs and I havent had any major side effects.  I have been eating healthy and exercising 1 hr at day so it has helped me with weight and my blood sugar. ,Tirzepatide 
"I have been on Mounjaro for 9 weeks.  I had to jump from 5 to 10 mg last week due to shortage issues.  I am having several problems with severe bloating,  constipation,  headache,  and stomach pain.  I have severe gas that keeps me up most of the night and can be a sign of impending intermittent diarrhea at times.  I am always full and started pushing myself to eat as I can go all day with nothing.  Now I have small welts and itching at injection sites.  Total weight loss 0.   My blood sugar is higher especially in the morning.  This drug is horrible and I wont put my body through it anymore.  I can lose weight easier and healthier than this since it ruined my Thanksgiving,  Christmas and New Years Eve.  I was so excited to try it and have hope.  Im thankful for all those who are benefiting from it.  Good luck to all.  It just wasnt for me. ",Tirzepatide 
"My doctor recommended Mounjaro,  I objected because of previous experience with side effects from Byetta,  Victoza,  Trulicity.  He said the side effects were mild.  I agreed to try 2. 5,  that was a horrible decision!  My heart rate elevated,  pulse,  blood pressure increased,  couldnt eat,  diarrhea,  vomiting,  loss of sense of balance.  When to doctor 2 days later  I was so dehydrated I required 2 12 bags of IV solution to help me drive home.  I cant remember ever being so sick.  I will never take again or recommend to anyone! ",Tirzepatide 
"I started using Mounjaro at 2. 4 mg,  worked great,  no side effects.  After the doctor increased it to 5 mg,  I developed severe stomach pain,  both upper and lower.  I couldn not tolerate the pain.  I was taking oxycodone.  Tried to live with the pain,  but I couldn not take it anymore,  so I stopped.  Taking this medication,  be very careful with what you are doing.  My blood pressure was very high.  My doctor was out of reach,  so I went to another doctor.  He prescribed a test on my pancreas,  and the test came out bad.  I was informed to stop this medication and take another test in six months.  They didn not tell me what is wrong they just told me to stop this medication and that I have to take another test in 6 months.  It is very serious. ",Tirzepatide 
"I started at 373 pounds type 2 diabetic.  My blood sugar was under control I was taking metformin for about a year.  My A1c was around a 6.  In 2 months time I have lost 65 pounds.  I started with the 2. 5mg,  no side effects,  moved to a 5mg had the suffer burps that folks are eluding too but nothing else.  I went to the 7. 5mg then moved to the 10mg.   From about 5mg on I had to make myself eat and like others I started eating right.  My energy levels are up.  No vomiting or liver failure,  thank God.  I am now currently on the 12. 5mg.  Other than no appetite no I seemed to have dodged the side effects.  I would recommend this to anyone it has done wonders for me. ",Tirzepatide 
"I started Mounjaro 7 weeks ago.  The first shot made me so nauseous and have such bad abdominal pain that lasted for 12 hours I almost went to the ER.  Told my doctor about my experience and she gave me zofran and told me to continue dieting.  Fast forward to this weekend  took my shot on Friday morning then spent all day Saturday and Sunday projectile vomiting it literally ended up about 7 feet from where I was standing,  uncontrollable diarrhea,  disgusting sulfur burps,  horrible heartburn,  and dizziness.  Finally decided to go to the ER and got treated for dehydration.  They told me to follow up with my primary doctor to talk about the best way to continue the medication.  After this experience I am NEVER taking this drug again.  While I have lose 25lbs in the past 7 weeks I believe its mostly because I have been afraid to eat anything.  I will continue to eat healthy and cut carbs and sugars but I won not be taking Mounjaro again. ",Tirzepatide 
"As of today 952022,  I have been on Mounjaro for 5 weeks.   I have experienced upset stomach,  nausea,  weakness,  tiredness.   I am on 2. 5 mg.  Hoping symptoms start to disappear.  I am a Type 2 diabetic,  and the pills didn not seem to help.  I am in my 60s so was wondering if that mattered.  I am not sure.  I would like to continue the Mounjaro,  but if side effects persist,  I may have to try other options. ",Tirzepatide 
"I had previously been on Trulicity,  and the doctor switched me to Mounjaro since I have so much extra weight on me.   He started me on the 5mg pen since I had already been on Trulicity.   I lost minimal weight on Trulicity.   Some,  but not enough to say it is awesome.   The only side effect I have had on Mounjaro is occasional constipationreflux,  which is manageable.  Maybe it is because I got pastthru all the nasty side effects while on Trulicity,  and that minimized the effects of Mounjaro?   I feel bad for all those that have had adverse effects on Moujarno.   I have lost about 10 pounds so far in just over 2 weeks,  and I can tell a HUGE difference in my appetite.  I mean HUGE.   I am not hungry like I used to be.   In fact,  this drug curbs my appetite SO much,  that I have to force myself eat sometimes,  and in having to do that,  it makes me instinctively want to eat more healthy food.  This drug has helped with weight loss,  and I am excited to see how much I will lose and get my A1C down. ",Tirzepatide 
Been on Mounjaro for 5 weeks for weight loss.  Started with 2. 5 the first month now on 5 mg.  Lost 20 lbs so far.   Been on 5 mg for 5 days now and extremely fatigued and weak however Im not going to complain because Im not hungry at all.  Have no desire for food since being on 5 mg.   You have to make yourself eat and drink because you feel full constantly.  Mouth is very dry so drinking water regularly is a must.  Highly recommend for weight loss.  Hopefully the fatigue will go away once Im into the second week of the 5 mg and my body adjusts. ,Tirzepatide 
"In November 2022,  my ACI was 7. 4 and I weighed 258 pounds at 67 years old.  The wake up call was when I renewed my life insurance,  big jump in premium due to the AC1 and weight.  I was now tagged as a Type 2 Diabetic.  I was referred to an Endocrinologist who did extensive blood work.  It was agreed to go on Mounjaro 2. 5 mg.  The first week I suffered some side effects such as nausea,   constipation,  and acid burps.  Within 10 days,  the symptoms subsided due to stool softeners,  lots of fruit berries,  and Nexium.  The first month I dropped 10 pounds with no dieting,  just was not hungry at all.  I had no cravings especially for sweets like cookies,  donuts,  and candy all things that i used to eat.  Fast forward March 2023,  I am down to 217 pounds and 20 more to go.  I am now on Mounjaro 10mg,  it a bit strong,  but the results are fantastic.  My AC1 is now 5. 6 which is fantastic.  The bad news is nothing fits,  all new suits for the spring . ",Tirzepatide 
"I lost over 40 lbs and leveled off at an ideal weight.  Best of all,  my A1c dropped to a non diabetic level.  My ophthalmologist has said there is now no sign of diabetes in my eyes.  I have been able to reduce the meds I was taking.  I am much more active because I weigh so much less and feel better.  I followed the advice in the enclosure for the drug and ate small meals several times a day rather than large meals.  I have not had trouble with side effects.  I hope that the cost is reduced so that more people can afford it.  Its biggest downside is the expense. ",Tirzepatide 
"I just took my fourth infection and I couldnt be more excited !  Ive lost 10 pounds in three weeks ,  my appetite is controlled ,  I feel like Ive finally got some hope to get my health where it needs to be .  My morning fasting glucose is close to 100  always near 140 no more crazy spikes hitting 200 300 .  
I do get very tired day of each shot .  The first three days or so of my first injection I was so ill  sick stomach  I got some zofran and that helped tremendously so Ill expect to need that each dose increase .  Looking very forward to 5 mg next week  ins wont pay for it yet even though Im type 2 ,  but Ive got a coupon for it and paid 25 a month .  Thank God or I couldnt get it ,  hopefully soon it will be covered . ",Tirzepatide 
"I have been on Ozempic 2mg since it came out.  When I couldn not get it due to shortage I was prescribed Mounjaro 5mg.  Five days after eating my one meal a day,  I intermittent fast,  and I started vomiting.  I spent the whole night throwing up every half hour.  I  figured it was a side effect and hoped I would improve.  I had stomach and back pain,  weakness,  and was unable to eat.  I was in bed until I had to get up and sit due to pain,  sleeping off and on.  I could only drink water.  I got worse and finally,  5 days later had my husband drive me to the ER.  I know I should have gone sooner.  I didn not take a second shot. 
I had a CAT scan and was told I had a bowel obstruction and I would be admitted and there for a few days.  If they couldn not resolve through a tube down my nose I would have surgery.  Luckily it was resolved by the nasal tube,  but it was awful. 
My medical care pharmacist told me to try Mounjaro 2. 5mg.  I was worried but did it.  I didn not get nausea but I had all these other side effects.  I quit taking it. ",Tirzepatide 
"Ive been taking Mounjaro now for 4 months.  I was prescribed it to treat my type 2 diabetes as well as for weight loss.  Let me just say this drug has been miracle!  I started out at 268lbs,  5ft 6in male I am now at 225lbs!  Over 40 pounds in 4 months!  Only other weight loss program that helped me like this was the military !  Now let me just say its not all Mounjaro,  Ive changed my eating habits,  and changed what foods Im actually eating and boom working like a dream.  My A1C has also dropped from 7. 5 to 5. 8,  this drug is an amazing stepping stone to a healthier life.  
Only side effects Ive experienced since starting are loss of appetite,  and constipation,  not to bad in my opinion! ",Tirzepatide 
"I had a very bad experience with Mounjaro.   After two weeks of taking the 5. 0 mg,  I developed chest pains and a severe case of what I thought was reflux or heartburn.  I really felt like I might be having a heart attack.  I stopped taking it and reported it to my doctor.   My doctor suggested I should continue taking it,  but she would reduce the dose.   I went back on metformin for about a month then,  I started the 2. 5 mg dose of Mounjaro.   I took the reduced dose for about two weeks and started having severe pains in my upper stomach.   I went to urgent care,  and they examined me and took xrays,  then sent me to the ER for further tests.  After a CT scan,  I was told my gallbladder was inflamed and needed to be taken out.   I was in surgery by 1030 am the next morning to have my gallbladder removed.   I am 60 years old and have never had any problems this severe.  I have fully recovered from the surgery but now have a 1700 hospital bill.  Thank God for insurance.  The total bill was over 50, 000. ",Tirzepatide 
"I started on a 2. 5 mg dose for 30 days and had nothing positive or negative.  The doctor increased it to 12. 5 mg and my appetite went to zero,  stomach pain,  throw up,  diarrhea generally nausea,  and ill feeling,  but did lose 15 lbs in 3 weeks and my blood labs were near perfect.  I was ready to quit until I saw this.  The second month my appetite came back slightly and I learned to eat less and cleaner so it wouldnt make me throw up,  lost another 15 lbs and it excited me to get back in the gym daily.  Since the drug slows your digestion it slows the bowel too which gave me insane constipation and make sure I eat enough fiber daily.  At first,  the side effects are hell but stick with it as they only lasted a month,  then your body adjusts and you learn how to eat and work with it.  The end results are worth it.  Its been 9 months and I have lost 35 lbs,  labs are excellent and for the first time,  I have seen glucose under 100 in 30 years. ",Tirzepatide 
"I am overweight and was sent to an endocrinologist by my PCP.   A1C came back 6. 9 and I received the dreaded diabetes diagnosis.  Endocrinologist asked me about my eating habits and suggested Mounjaro once a week injection.  Sceptical I was,  but I was willing to try with getting my weight down and get my A1C down.   First injection,  no severe vomiting or anything.  The only side effect I had was the constipation,  I was put on a stool softener and take fibre daily which eliminated that side effect.   Within two months I was down 15 pounds,  have not given in to eating a Boston crme doughnuts on which I tend to binge,  limited on my intake of food because over indulging makes me feel lousy and gives me indigestion,  within three months my A1C is down to 5. 3 and my weight is still going down.  Thank you so much to the researchers who created this drug because it has saved my life and gotten me on the road to better health.  The needle doesn not even hurt when I self inject.  I am grateful. ",Tirzepatide 
